yer, ilçe, semt, mahalle, gpos_x, gpos_y

Aya Yorgi Kilisesi, Adalar, Büyükada, Nizam Mahallesi, 40.853078123470695, 29.121131056014963,
Ayios Dimitrios Kilisesi, Adalar, Büyükada, Maden Mahallesi, 40.87353556230353, 29.1326772045805
Büyükada Tabiat Parkı, Adalar, Büyükada, Maden Mahallesi, 40.849590341018676, 29.125845981147783
Büyükada İskelesi, Adalar, Büyükada, Nizam Mahallesi, 40.87468918220081, 29.127374842173886
Hamidiye Camii, Adalar, Büyükada, Maden Mahallesi, 40.87139135549768, 29.130762470369973
Hesed Leavraam Sinagogu, Adalar, Büyükada, Maden Mahallesi, 40.87232433637835, 29.134882343383868
Kurşunburnu Şehitler Ormanı, Adalar, Büyükada, Maden Mahallesi, 40.83923681504618, 29.123781084521333
Mizzi Köşkü, Adalar, Büyükada, Nizam Mahallesi, 40.87064901883982, 29.122289374035045
Taş Mektep, Adalar, Büyükada, Nizam Mahallesi, 40.869221110982096, 29.124113276042547
Troçki Evi, Adalar, Büyükada, Nizam Mahallesi, 40.8710384429438, 29.116495802470055
İsa Rum Manastırı, Adalar, Büyükada, Nizam Mahallesi, 40.86441868694243, 29.123673795969033

Aya Nikola Rum Kilisesi, Adalar, Heybeliada, Heybeliada Mahallesi, 40.87732407184614, 29.099806733080037
Değirmenburnu Tabiat Parkı, Adalar, Heybeliada, Heybeliada Mahallesi, 40.88387861503624, 29.093816775936347
Heybeliada Ruhban Okulu, Adalar, Heybeliada, Heybeliada Mahallesi, 40.882248202736555, 29.094632167470515
Aya Triada Kilisesi, Adalar, Heybeliada, Heybeliada Mahallesi, 40.88224009113223, 29.0954153724697
Abbas Paşa Köşkü, Adalar, Heybeliada, Heybeliada Mahallesi, 40.879376632658314, 29.093360800448103
İnönü Evi Müzesi, Adalar, Heybeliada, Heybeliada Mahallesi, 40.878407246848354, 29.09352709731185
Heybeliada Cami, Adalar, Heybeliada, Heybeliada Mahallesi, 40.87859382428406, 29.09545828791524
Hüseyin Rahmi Gürpınar Müzesi, Adalar, Heybeliada, Heybeliada Mahallesi, 40.877344556514, 29.092207450524675
Hüseyin Rahmi Gürpınar Müze Evi, Adalar, Heybeliada, Heybeliada Mahallesi, 40.875600409464894, 29.090233344757404
Aya Yorgi Uçurum Kilisesi, Adalar, Heybeliada, Heybeliada Mahallesi, 40.87203084900866, 29.098151225803893




Hristos Rum Kilisesi, Adalar, Kınalıada, Kınalıada Mahallesi, 40.91103318469198, 29.050625041975305
